page_id,section_number,section_title,label,url,relativePath,padded,parentID,parent_title
483324,,Writing Automated Questions using WeBWork in ADAPT,Writing Automated Questions using WeBWork in ADAPT,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT,,Writing_Automated_Questions_using_WeBWork_in_ADAPT,,
483326,,Front Matter,Front Matter,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter,/00%3A_Front_Matter,00%3A_Front_Matter,483324,Writing Automated Questions using WeBWork in ADAPT
483327,01,TitlePage,01:_TitlePage,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/01%3A_TitlePage,/00%3A_Front_Matter/01%3A_TitlePage,01%3A_TitlePage,483326,Front Matter
483328,02,InfoPage,02:_InfoPage,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/02%3A_InfoPage,/00%3A_Front_Matter/02%3A_InfoPage,02%3A_InfoPage,483326,Front Matter
483329,03,Table_of_Contents,03:_Table_of_Contents,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/03%3A_Table_of_Contents,/00%3A_Front_Matter/03%3A_Table_of_Contents,03%3A_Table_of_Contents,483326,Front Matter
483330,,Licensing,Licensing,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/04%3A_Licensing,/00%3A_Front_Matter/04%3A_Licensing,04%3A_Licensing,483326,Front Matter
488650,1,Introduction,1: Introduction,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction,/01%3A_Introduction,01%3A_Introduction,483324,Writing Automated Questions using WeBWork in ADAPT
488652,1.1,What is WeBWorK,1.1: What is WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.01%3A_What_is_WeBWorK,/01%3A_Introduction/1.01%3A_What_is_WeBWorK,1.01%3A_What_is_WeBWorK,488650,1: Introduction
488653,1.2,Why use WeBWorK,1.2: Why use WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.02%3A_Why_use_WeBWorK,/01%3A_Introduction/1.02%3A_Why_use_WeBWorK,1.02%3A_Why_use_WeBWorK,488650,1: Introduction
488654,1.3,Key Features of WeBWorK,1.3: Key Features of WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.03%3A_Key_Features_of_WeBWorK,/01%3A_Introduction/1.03%3A_Key_Features_of_WeBWorK,1.03%3A_Key_Features_of_WeBWorK,488650,1: Introduction
